          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
   79.950     4     4     4.0     60   1844 |   15  1231    0.2643    0.0176    0.0044 |
   80.925     4     4     4.0     60   1904 |   15  1246    0.2642    0.0176    0.0044 |
   81.900     4     4     4.0     60   1964 |   15  1261    0.2651    0.0177    0.0044 |
   82.875     4     4     4.0     60   2024 |   15  1276    0.2640    0.0176    0.0044 |
   83.850     4     4     4.0     60   2084 |   15  1291    0.2636    0.0176    0.0044 |
   84.825     4     4     4.0     60   2144 |   15  1306    0.2646    0.0176    0.0044 |
   85.800     4     4     4.0     60   2204 |   15  1321    0.2644    0.0176    0.0044 |
   86.775     4     4     4.0     60   2264 |   15  1336    0.2635    0.0176    0.0044 |
   87.750     4     4     4.0     60   2324 |   15  1351    0.2647    0.0176    0.0044 |
   88.725     4     4     4.0     60   2384 |   15  1366    0.2634    0.0176    0.0044 |
   89.700     4     4     4.0     60   2444 |   15  1381    0.2632    0.0175    0.0044 |
   90.675     4     4     4.0     60   2504 |   15  1396    0.2635    0.0176    0.0044 |
   91.650     4     4     4.0     60   2564 |   15  1411    0.2627    0.0175    0.0044 |
   92.625     4     4     4.0     60   2624 |   15  1426    0.2640    0.0176    0.0044 |
   93.600     4     4     4.0     60   2684 |   15  1441    0.2633    0.0176    0.0044 |
   94.575     4     4     4.0     60   2744 |   15  1456    0.2623    0.0175    0.0044 |
   95.550     4     4     4.0     60   2804 |   15  1471    0.2642    0.0176    0.0044 |
   96.525     4     4     4.0     60   2864 |   15  1486    0.2657    0.0177    0.0044 |
   97.500     4     4     4.0     60   2924 |   15  1501    0.2634    0.0176    0.0044 |
   98.475     4     4     4.0     60   2984 |   15  1516    0.2663    0.0178    0.0044 |
   99.450     4     4     4.0     60   3044 |   15  1531    0.2637    0.0176    0.0044 |
  100.425     4     4     4.0     60   3104 |   15  1546    0.2627    0.0175    0.0044 |
  101.400     4     4     4.0     60   3164 |   15  1561    0.2629    0.0175    0.0044 |
  102.375     4     4     4.0     60   3224 |   15  1576    0.2638    0.0176    0.0044 |
  103.350     4     4     4.0     60   3284 |   15  1591    0.2637    0.0176    0.0044 |
  104.325     4     4     4.0     60   3344 |   15  1606    0.2625    0.0175    0.0044 |
  105.300     4     4     4.0     60   3404 |   15  1621    0.2634    0.0176    0.0044 |
  106.275     4     4     4.0     60   3464 |   15  1636    0.2633    0.0176    0.0044 |
  107.250     4     4     4.0     60   3524 |   15  1651    0.2626    0.0175    0.0044 |
  108.225     4     4     4.0     60   3584 |   15  1666    0.2627    0.0175    0.0044 |
  109.200     4     4     4.0     60   3644 |   15  1681    0.2638    0.0176    0.0044 |
  110.175     4     4     4.0     60   3704 |   15  1696    0.2642    0.0176    0.0044 |
  111.150     4     4     4.0     60   3764 |   15  1711    0.2639    0.0176    0.0044 |
  112.125     4     4     4.0     60   3824 |   15  1726    0.2642    0.0176    0.0044 |
  113.100     4     4     4.0     60   3884 |   15  1741    0.2659    0.0177    0.0044 |
  114.075     4     4     4.0     60   3944 |   15  1756    0.2634    0.0176    0.0044 |
  115.050     4     4     4.0     60   4004 |   15  1771    0.2631    0.0175    0.0044 |
  116.025     4     4     4.0     60   4064 |   15  1786    0.2630    0.0175    0.0044 |
  117.000     4     4     4.0     60   4124 |   15  1801    0.2626    0.0175    0.0044 |
  117.975     4     4     4.0     60   4184 |   15  1816    0.2630    0.0175    0.0044 |
  118.950     4     4     4.0     60   4244 |   15  1831    0.2633    0.0176    0.0044 |
  119.925     4     4     4.0     60   4304 |   15  1846    0.2627    0.0175    0.0044 |
  120.900     4     4     4.0     60   4364 |   15  1861    0.2631    0.0175    0.0044 |
  121.875     4     4     4.0     60   4424 |   15  1876    0.2630    0.0175    0.0044 |
  122.850     4     4     4.0     60   4484 |   15  1891    0.2624    0.0175    0.0044 |
  123.825     4     4     4.0     60   4544 |   15  1906    0.2633    0.0176    0.0044 |
  124.800     4     4     4.0     60   4604 |   15  1921    0.2639    0.0176    0.0044 |
  125.775     4     4     4.0     60   4664 |   15  1936    0.2628    0.0175    0.0044 |
  126.750     4     4     4.0     60   4724 |   15  1951    0.2628    0.0175    0.0044 |
  127.725     4     4     4.0     60   4784 |   15  1966    0.2623    0.0175    0.0044 |
  128.700     4     4     4.0     60   4844 |   15  1981    0.2629    0.0175    0.0044 |
  129.675     4     4     4.0     60   4904 |   15  1996    0.2674    0.0178    0.0045 |
  130.650     4     4     4.0     60   4964 |   15  2011    0.2632    0.0175    0.0044 |
  131.625     4     4     4.0     60   5024 |   15  2026    0.2626    0.0175    0.0044 |
  132.600     4     4     4.0     60   5084 |   15  2041    0.2625    0.0175    0.0044 |
  133.575     4     4     4.0     60   5144 |   15  2056    0.2631    0.0175    0.0044 |
  134.550     4     4     4.0     60   5204 |   15  2071    0.2627    0.0175    0.0044 |
  135.525     4     4     4.0     60   5264 |   15  2086    0.2630    0.0175    0.0044 |
  136.500     4     4     4.0     60   5324 |   15  2101    0.2629    0.0175    0.0044 |
  137.475     4     4     4.0     60   5384 |   15  2116    0.2635    0.0176    0.0044 |
  138.450     4     4     4.0     60   5444 |   15  2131    0.2625    0.0175    0.0044 |
  139.425     4     4     4.0     60   5504 |   15  2146    0.2631    0.0175    0.0044 |
  140.400     4     4     4.0     60   5564 |   15  2161    0.2629    0.0175    0.0044 |
  141.375     4     4     4.0     60   5624 |   15  2176    0.2636    0.0176    0.0044 |
  142.350     4     4     4.0     60   5684 |   15  2191    0.2622    0.0175    0.0044 |
  143.325     4     4     4.0     60   5744 |   15  2206    0.2647    0.0176    0.0044 |
  144.300     4     4     4.0     60   5804 |   15  2221    0.2631    0.0175    0.0044 |
  145.275     4     4     4.0     60   5864 |   15  2236    0.2629    0.0175    0.0044 |
  146.250     4     4     4.0     60   5924 |   15  2251    0.2662    0.0177    0.0044 |
  147.225     4     4     4.0     60   5984 |   15  2266    0.2633    0.0176    0.0044 |
  148.200     4     4     4.0     60   6044 |   15  2281    0.2631    0.0175    0.0044 |
  149.175     4     4     4.0     60   6104 |   15  2296    0.2629    0.0175    0.0044 |
  150.150     4     4     4.0     60   6164 |   15  2311    0.2626    0.0175    0.0044 |
  151.125     4     4     4.0     60   6224 |   15  2326    0.2629    0.0175    0.0044 |
  152.100     4     4     4.0     60   6284 |   15  2341    0.2628    0.0175    0.0044 |
  153.075     4     4     4.0     60   6344 |   15  2356    0.2632    0.0175    0.0044 |
  154.050     4     4     4.0     60   6404 |   15  2371    0.2636    0.0176    0.0044 |
  155.025     4     4     4.0     60   6464 |   15  2386    0.2624    0.0175    0.0044 |
  156.000     4     4     4.0     60   6524 |   15  2401    0.2639    0.0176    0.0044 |
  156.975     4     4     4.0     60   6584 |   15  2416    0.2642    0.0176    0.0044 |
  157.950     4     4     4.0     60   6644 |   15  2431    0.2625    0.0175    0.0044 |
  158.925     4     4     4.0     60   6704 |   15  2446    0.2634    0.0176    0.0044 |
  159.900     4     4     4.0     60   6764 |   15  2461    0.2625    0.0175    0.0044 |
  160.875     4     4     4.0     60   6824 |   15  2476    0.2634    0.0176    0.0044 |
  161.850     4     4     4.0     60   6884 |   15  2491    0.2654    0.0177    0.0044 |
  162.825     4     4     4.0     60   6944 |   15  2506    0.2627    0.0175    0.0044 |
  163.800     4     4     4.0     60   7004 |   15  2521    0.2660    0.0177    0.0044 |
  164.775     4     4     4.0     60   7064 |   15  2536    0.2625    0.0175    0.0044 |
  165.750     4     4     4.0     60   7124 |   15  2551    0.2628    0.0175    0.0044 |
  166.725     4     4     4.0     60   7184 |   15  2566    0.2642    0.0176    0.0044 |
  167.700     4     4     4.0     60   7244 |   15  2581    0.2625    0.0175    0.0044 |
  168.675     4     4     4.0     60   7304 |   15  2596    0.2637    0.0176    0.0044 |
  169.650     4     4     4.0     60   7364 |   15  2611    0.2638    0.0176    0.0044 |
  170.625     4     4     4.0     60   7424 |   15  2626    0.2632    0.0175    0.0044 |
  171.600     4     4     4.0     60   7484 |   15  2641    0.2629    0.0175    0.0044 |
  172.575     4     4     4.0     60   7544 |   15  2656    0.2632    0.0175    0.0044 |
  173.550     4     4     4.0     60   7604 |   15  2671    0.2638    0.0176    0.0044 |
  174.525     4     4     4.0     60   7664 |   15  2686    0.2639    0.0176    0.0044 |
  175.500     4     4     4.0     60   7724 |   15  2701    0.2628    0.0175    0.0044 |
  176.475     4     4     4.0     60   7784 |   15  2716    0.2639    0.0176    0.0044 |
  177.450     4     4     4.0     60   7844 |   15  2731    0.2632    0.0175    0.0044 |
  178.425     4     4     4.0     60   7904 |   15  2746    0.2625    0.0175    0.0044 |
  179.400     4     4     4.0     60   7964 |   15  2761    0.2631    0.0175    0.0044 |
  180.375     4     4     4.0     60   8024 |   15  2776    0.2658    0.0177    0.0044 |
  181.350     4     4     4.0     60   8084 |   15  2791    0.2630    0.0175    0.0044 |
  182.325     4     4     4.0     60   8144 |   15  2806    0.2630    0.0175    0.0044 |
  183.300     4     4     4.0     60   8204 |   15  2821    0.2634    0.0176    0.0044 |
  184.275     4     4     4.0     60   8264 |   15  2836    0.2637    0.0176    0.0044 |
  185.250     4     4     4.0     60   8324 |   15  2851    0.2652    0.0177    0.0044 |
  186.225     4     4     4.0     60   8384 |   15  2866    0.2632    0.0175    0.0044 |
  187.200     4     4     4.0     60   8444 |   15  2881    0.2644    0.0176    0.0044 |
