          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  221.325    15  3406 |    0.0159    4.1086 |
  222.300    15  3421 |    0.0159    4.1246 |
  223.275    15  3436 |    0.0159    4.1404 |
  224.250    15  3451 |    0.0159    4.1564 |
  225.225    15  3466 |    0.0159    4.1723 |
  226.200    15  3481 |    0.0159    4.1882 |
  227.175    15  3496 |    0.0159    4.2041 |
  228.150    15  3511 |    0.0160    4.2201 |
  229.125    15  3526 |    0.0159    4.2360 |
  230.100    15  3541 |    0.0160    4.2520 |
  231.075    15  3556 |    0.0162    4.2681 |
  232.050    15  3571 |    0.0160    4.2841 |
  233.025    15  3586 |    0.0162    4.3003 |
  234.000    15  3601 |    0.0161    4.3164 |
  234.975    15  3616 |    0.0162    4.3326 |
  235.950    15  3631 |    0.0166    4.3492 |
  236.925    15  3646 |    0.0163    4.3655 |
  237.900    15  3661 |    0.0161    4.3816 |
  238.875    15  3676 |    0.0160    4.3977 |
  239.850    15  3691 |    0.0162    4.4138 |
  240.825    15  3706 |    0.0160    4.4298 |
  241.800    15  3721 |    0.0160    4.4457 |
  242.775    15  3736 |    0.0159    4.4616 |
  243.750    15  3751 |    0.0159    4.4775 |
  244.725    15  3766 |    0.0160    4.4934 |
  245.700    15  3781 |    0.0160    4.5094 |
  246.675    15  3796 |    0.0160    4.5254 |
  247.650    15  3811 |    0.0162    4.5416 |
  248.625    15  3826 |    0.0159    4.5575 |
  249.600    15  3841 |    0.0160    4.5735 |
  250.575    15  3856 |    0.0160    4.5894 |
  251.550    15  3871 |    0.0159    4.6054 |
  252.525    15  3886 |    0.0159    4.6213 |
  253.500    15  3901 |    0.0159    4.6372 |
  254.475    15  3916 |    0.0160    4.6532 |
  255.450    15  3931 |    0.0160    4.6692 |
  256.425    15  3946 |    0.0159    4.6850 |
  257.400    15  3961 |    0.0158    4.7009 |
  258.375    15  3976 |    0.0159    4.7168 |
  259.350    15  3991 |    0.0160    4.7328 |
  260.325    15  4006 |    0.0159    4.7487 |
  261.300    15  4021 |    0.0161    4.7647 |
  262.275    15  4036 |    0.0160    4.7808 |
  263.250    15  4051 |    0.0161    4.7968 |
  264.225    15  4066 |    0.0160    4.8129 |
  265.200    15  4081 |    0.0160    4.8289 |
  266.175    15  4096 |    0.0158    4.8447 |
  267.150    15  4111 |    0.0160    4.8608 |
  268.125    15  4126 |    0.0160    4.8768 |
  269.100    15  4141 |    0.0159    4.8927 |
  270.075    15  4156 |    0.0159    4.9086 |
  271.050    15  4171 |    0.0159    4.9245 |
  272.025    15  4186 |    0.0159    4.9404 |
  273.000    15  4201 |    0.0160    4.9564 |
  273.975    15  4216 |    0.0159    4.9723 |
  274.950    15  4231 |    0.0159    4.9882 |
  275.925    15  4246 |    0.0159    5.0041 |
  276.900    15  4261 |    0.0159    5.0201 |
  277.875    15  4276 |    0.0159    5.0360 |
  278.850    15  4291 |    0.0160    5.0519 |
  279.825    15  4306 |    0.0159    5.0678 |
  280.800    15  4321 |    0.0160    5.0838 |
  281.775    15  4336 |    0.0159    5.0997 |
  282.750    15  4351 |    0.0159    5.1157 |
  283.725    15  4366 |    0.0160    5.1317 |
  284.700    15  4381 |    0.0159    5.1476 |
  285.675    15  4396 |    0.0159    5.1635 |
  286.650    15  4411 |    0.0159    5.1794 |
  287.625    15  4426 |    0.0162    5.1956 |
  288.600    15  4441 |    0.0159    5.2116 |
  289.575    15  4456 |    0.0161    5.2276 |
  290.550    15  4471 |    0.0159    5.2436 |
  291.525    15  4486 |    0.0159    5.2595 |
  292.500    15  4501 |    0.0160    5.2754 |
  293.475    15  4516 |    0.0159    5.2913 |
  294.450    15  4531 |    0.0159    5.3072 |
  295.425    15  4546 |    0.0162    5.3234 |
  296.400    15  4561 |    0.0160    5.3394 |
  297.375    15  4576 |    0.0159    5.3553 |
  298.350    15  4591 |    0.0159    5.3712 |
  299.325    15  4606 |    0.0161    5.3873 |
  300.300    15  4621 |    0.0166    5.4039 |
  301.275    15  4636 |    0.0159    5.4198 |
  302.250    15  4651 |    0.0159    5.4357 |
  303.225    15  4666 |    0.0160    5.4516 |
  304.200    15  4681 |    0.0160    5.4676 |
  305.175    15  4696 |    0.0159    5.4835 |
  306.150    15  4711 |    0.0159    5.4994 |
  307.125    15  4726 |    0.0159    5.5152 |
  308.100    15  4741 |    0.0162    5.5314 |
  309.075    15  4756 |    0.0159    5.5473 |
  310.050    15  4771 |    0.0159    5.5633 |
  311.025    15  4786 |    0.0160    5.5792 |
  312.000    15  4801 |    0.0159    5.5951 |
  312.975    15  4816 |    0.0159    5.6110 |
  313.950    15  4831 |    0.0159    5.6270 |
  314.925    15  4846 |    0.0159    5.6429 |
  315.900    15  4861 |    0.0159    5.6587 |
  316.875    15  4876 |    0.0159    5.6746 |
  317.850    15  4891 |    0.0159    5.6906 |
  318.825    15  4906 |    0.0159    5.7065 |
  319.800    15  4921 |    0.0161    5.7225 |
  320.775    15  4936 |    0.0159    5.7384 |
  321.750    15  4951 |    0.0159    5.7542 |
  322.725    15  4966 |    0.0160    5.7702 |
  323.700    15  4981 |    0.0161    5.7863 |
  324.675    15  4996 |    0.0159    5.8022 |
  325.650    15  5011 |    0.0160    5.8182 |
  326.625    15  5026 |    0.0159    5.8341 |
  327.600    15  5041 |    0.0161    5.8502 |
  328.575    15  5056 |    0.0160    5.8662 |
  329.550    15  5071 |    0.0159    5.8821 |
  330.525    15  5086 |    0.0159    5.8980 |
  331.500    15  5101 |    0.0159    5.9139 |
  332.475    15  5116 |    0.0159    5.9298 |
  333.450    15  5131 |    0.0159    5.9458 |
  334.425    15  5146 |    0.0159    5.9617 |
  335.400    15  5161 |    0.0159    5.9776 |
  336.375    15  5176 |    0.0159    5.9935 |
  337.350    15  5191 |    0.0159    6.0094 |
  338.325    15  5206 |    0.0160    6.0254 |
  339.300    15  5221 |    0.0159    6.0413 |
  340.275    15  5236 |    0.0160    6.0572 |
  341.250    15  5251 |    0.0159    6.0731 |
  342.225    15  5266 |    0.0159    6.0891 |
  343.200    15  5281 |    0.0159    6.1050 |
  344.175    15  5296 |    0.0159    6.1209 |
  345.150    15  5311 |    0.0159    6.1367 |
  346.125    15  5326 |    0.0160    6.1527 |
  347.100    15  5341 |    0.0159    6.1686 |
  348.075    15  5356 |    0.0162    6.1848 |
  349.050    15  5371 |    0.0159    6.2006 |
  350.025    15  5386 |    0.0159    6.2166 |
  351.000    15  5401 |    0.0159    6.2324 |
  351.975    15  5416 |    0.0160    6.2484 |
  352.950    15  5431 |    0.0160    6.2644 |
  353.925    15  5446 |    0.0159    6.2803 |
  354.900    15  5461 |    0.0159    6.2962 |
  355.875    15  5476 |    0.0160    6.3122 |
  356.850    15  5491 |    0.0161    6.3283 |
  357.825    15  5506 |    0.0159    6.3442 |
  358.800    15  5521 |    0.0159    6.3601 |
  359.775    15  5536 |    0.0160    6.3760 |
  360.750    15  5551 |    0.0159    6.3920 |
  361.725    15  5566 |    0.0159    6.4078 |
  362.700    15  5581 |    0.0159    6.4237 |
  363.675    15  5596 |    0.0159    6.4397 |
  364.650    15  5611 |    0.0161    6.4557 |
  365.625    15  5626 |    0.0159    6.4717 |
  366.600    15  5641 |    0.0160    6.4877 |
  367.575    15  5656 |    0.0161    6.5038 |
  368.550    15  5671 |    0.0160    6.5198 |
  369.525    15  5686 |    0.0164    6.5362 |
  370.500    15  5701 |    0.0160    6.5521 |
  371.475    15  5716 |    0.0159    6.5681 |
  372.450    15  5731 |    0.0160    6.5840 |
  373.425    15  5746 |    0.0159    6.5999 |
  374.400    15  5761 |    0.0159    6.6158 |
  375.375    15  5776 |    0.0159    6.6317 |
  376.350    15  5791 |    0.0159    6.6476 |
  377.325    15  5806 |    0.0160    6.6636 |
  378.300    15  5821 |    0.0160    6.6796 |
  379.275    15  5836 |    0.0159    6.6955 |
  380.250    15  5851 |    0.0162    6.7117 |
  381.225    15  5866 |    0.0159    6.7276 |
  382.200    15  5881 |    0.0159    6.7435 |
  383.175    15  5896 |    0.0159    6.7593 |
  384.150    15  5911 |    0.0159    6.7752 |
  385.125    15  5926 |    0.0160    6.7913 |
  386.100    15  5941 |    0.0158    6.8071 |
  387.075    15  5956 |    0.0159    6.8231 |
  388.050    15  5971 |    0.0161    6.8392 |
  389.025    15  5986 |    0.0159    6.8551 |
  390.000    15  6001 |    0.0159    6.8710 |
  390.975    15  6016 |    0.0159    6.8869 |
  391.950    15  6031 |    0.0160    6.9029 |
  392.925    15  6046 |    0.0159    6.9188 |
  393.900    15  6061 |    0.0159    6.9346 |
  394.875    15  6076 |    0.0159    6.9506 |
  395.850    15  6091 |    0.0160    6.9665 |
  396.825    15  6106 |    0.0159    6.9824 |
  397.800    15  6121 |    0.0159    6.9983 |
  398.775    15  6136 |    0.0160    7.0143 |
  399.750    15  6151 |    0.0160    7.0303 |
  400.725    15  6166 |    0.0160    7.0462 |
  401.700    15  6181 |    0.0161    7.0624 |
  402.675    15  6196 |    0.0160    7.0783 |
  403.650    15  6211 |    0.0160    7.0943 |
  404.625    15  6226 |    0.0159    7.1102 |
  405.600    15  6241 |    0.0159    7.1262 |
  406.575    15  6256 |    0.0159    7.1421 |
  407.550    15  6271 |    0.0160    7.1581 |
  408.525    15  6286 |    0.0164    7.1745 |
  409.500    15  6301 |    0.0160    7.1904 |
  410.475    15  6316 |    0.0160    7.2064 |
  411.450    15  6331 |    0.0160    7.2224 |
  412.425    15  6346 |    0.0160    7.2383 |
  413.400    15  6361 |    0.0160    7.2543 |
  414.375    15  6376 |    0.0160    7.2703 |
  415.350    15  6391 |    0.0159    7.2863 |
  416.325    15  6406 |    0.0160    7.3023 |
  417.300    15  6421 |    0.0159    7.3182 |
  418.275    15  6436 |    0.0159    7.3342 |
  419.250    15  6451 |    0.0159    7.3501 |
  420.225    15  6466 |    0.0160    7.3661 |
  421.200    15  6481 |    0.0160    7.3822 |
  422.175    15  6496 |    0.0160    7.3981 |
  423.150    15  6511 |    0.0159    7.4141 |
  424.125    15  6526 |    0.0161    7.4301 |
  425.100    15  6541 |    0.0160    7.4461 |
  426.075    15  6556 |    0.0160    7.4622 |
  427.050    15  6571 |    0.0160    7.4781 |
