          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  169.650    15  2611 |    0.0161    3.2282 |
  170.625    15  2626 |    0.0160    3.2443 |
  171.600    15  2641 |    0.0159    3.2602 |
  172.575    15  2656 |    0.0160    3.2762 |
  173.550    15  2671 |    0.0160    3.2922 |
  174.525    15  2686 |    0.0159    3.3081 |
  175.500    15  2701 |    0.0160    3.3240 |
  176.475    15  2716 |    0.0159    3.3400 |
  177.450    15  2731 |    0.0159    3.3559 |
  178.425    15  2746 |    0.0159    3.3718 |
  179.400    15  2761 |    0.0161    3.3879 |
  180.375    15  2776 |    0.0161    3.4040 |
  181.350    15  2791 |    0.0160    3.4199 |
  182.325    15  2806 |    0.0159    3.4359 |
  183.300    15  2821 |    0.0160    3.4519 |
  184.275    15  2836 |    0.0160    3.4679 |
  185.250    15  2851 |    0.0159    3.4838 |
  186.225    15  2866 |    0.0160    3.4998 |
  187.200    15  2881 |    0.0164    3.5161 |
  188.175    15  2896 |    0.0159    3.5320 |
  189.150    15  2911 |    0.0159    3.5479 |
  190.125    15  2926 |    0.0160    3.5639 |
  191.100    15  2941 |    0.0159    3.5798 |
  192.075    15  2956 |    0.0159    3.5957 |
  193.050    15  2971 |    0.0160    3.6117 |
  194.025    15  2986 |    0.0160    3.6277 |
  195.000    15  3001 |    0.0159    3.6436 |
  195.975    15  3016 |    0.0160    3.6595 |
  196.950    15  3031 |    0.0160    3.6755 |
  197.925    15  3046 |    0.0159    3.6914 |
  198.900    15  3061 |    0.0159    3.7073 |
  199.875    15  3076 |    0.0161    3.7235 |
  200.850    15  3091 |    0.0161    3.7396 |
  201.825    15  3106 |    0.0160    3.7557 |
  202.800    15  3121 |    0.0159    3.7716 |
  203.775    15  3136 |    0.0159    3.7875 |
  204.750    15  3151 |    0.0159    3.8034 |
  205.725    15  3166 |    0.0160    3.8194 |
  206.700    15  3181 |    0.0160    3.8354 |
  207.675    15  3196 |    0.0160    3.8514 |
  208.650    15  3211 |    0.0162    3.8677 |
  209.625    15  3226 |    0.0160    3.8837 |
  210.600    15  3241 |    0.0162    3.8998 |
  211.575    15  3256 |    0.0170    3.9168 |
  212.550    15  3271 |    0.0168    3.9336 |
  213.525    15  3286 |    0.0164    3.9500 |
  214.500    15  3301 |    0.0164    3.9664 |
  215.475    15  3316 |    0.0163    3.9827 |
  216.450    15  3331 |    0.0177    4.0003 |
  217.425    15  3346 |    0.0169    4.0172 |
  218.400    15  3361 |    0.0166    4.0338 |
  219.375    15  3376 |    0.0164    4.0501 |
  220.350    15  3391 |    0.0163    4.0664 |
  221.325    15  3406 |    0.0161    4.0825 |
  222.300    15  3421 |    0.0163    4.0988 |
  223.275    15  3436 |    0.0164    4.1152 |
  224.250    15  3451 |    0.0162    4.1314 |
  225.225    15  3466 |    0.0160    4.1474 |
  226.200    15  3481 |    0.0161    4.1635 |
  227.175    15  3496 |    0.0160    4.1796 |
  228.150    15  3511 |    0.0161    4.1957 |
  229.125    15  3526 |    0.0160    4.2117 |
  230.100    15  3541 |    0.0159    4.2276 |
  231.075    15  3556 |    0.0162    4.2438 |
  232.050    15  3571 |    0.0160    4.2599 |
  233.025    15  3586 |    0.0160    4.2759 |
  234.000    15  3601 |    0.0159    4.2918 |
  234.975    15  3616 |    0.0160    4.3079 |
  235.950    15  3631 |    0.0161    4.3240 |
  236.925    15  3646 |    0.0160    4.3400 |
  237.900    15  3661 |    0.0160    4.3560 |
  238.875    15  3676 |    0.0162    4.3722 |
  239.850    15  3691 |    0.0160    4.3882 |
  240.825    15  3706 |    0.0161    4.4043 |
  241.800    15  3721 |    0.0161    4.4204 |
  242.775    15  3736 |    0.0165    4.4369 |
  243.750    15  3751 |    0.0216    4.4585 |
  244.725    15  3766 |    0.0199    4.4784 |
  245.700    15  3781 |    0.0165    4.4949 |
  246.675    15  3796 |    0.0163    4.5112 |
  247.650    15  3811 |    0.0160    4.5272 |
  248.625    15  3826 |    0.0164    4.5437 |
  249.600    15  3841 |    0.0165    4.5602 |
  250.575    15  3856 |    0.0165    4.5767 |
  251.550    15  3871 |    0.0165    4.5933 |
  252.525    15  3886 |    0.0191    4.6124 |
  253.500    15  3901 |    0.0168    4.6292 |
  254.475    15  3916 |    0.0163    4.6454 |
  255.450    15  3931 |    0.0177    4.6631 |
  256.425    15  3946 |    0.0167    4.6798 |
  257.400    15  3961 |    0.0164    4.6962 |
  258.375    15  3976 |    0.0161    4.7123 |
  259.350    15  3991 |    0.0163    4.7287 |
  260.325    15  4006 |    0.0160    4.7447 |
  261.300    15  4021 |    0.0165    4.7612 |
  262.275    15  4036 |    0.0161    4.7773 |
  263.250    15  4051 |    0.0161    4.7934 |
  264.225    15  4066 |    0.0161    4.8095 |
  265.200    15  4081 |    0.0161    4.8256 |
  266.175    15  4096 |    0.0162    4.8419 |
  267.150    15  4111 |    0.0162    4.8581 |
  268.125    15  4126 |    0.0163    4.8744 |
  269.100    15  4141 |    0.0164    4.8907 |
  270.075    15  4156 |    0.0165    4.9072 |
  271.050    15  4171 |    0.0169    4.9241 |
  272.025    15  4186 |    0.0163    4.9404 |
  273.000    15  4201 |    0.0164    4.9568 |
  273.975    15  4216 |    0.0165    4.9733 |
  274.950    15  4231 |    0.0163    4.9896 |
  275.925    15  4246 |    0.0161    5.0057 |
  276.900    15  4261 |    0.0164    5.0221 |
  277.875    15  4276 |    0.0164    5.0385 |
  278.850    15  4291 |    0.0165    5.0550 |
  279.825    15  4306 |    0.0164    5.0714 |
  280.800    15  4321 |    0.0165    5.0878 |
  281.775    15  4336 |    0.0163    5.1042 |
  282.750    15  4351 |    0.0168    5.1209 |
  283.725    15  4366 |    0.0164    5.1373 |
  284.700    15  4381 |    0.0167    5.1541 |
  285.675    15  4396 |    0.0171    5.1712 |
  286.650    15  4411 |    0.0177    5.1889 |
  287.625    15  4426 |    0.0168    5.2057 |
  288.600    15  4441 |    0.0165    5.2222 |
  289.575    15  4456 |    0.0164    5.2385 |
  290.550    15  4471 |    0.0166    5.2551 |
  291.525    15  4486 |    0.0171    5.2722 |
  292.500    15  4501 |    0.0167    5.2890 |
  293.475    15  4516 |    0.0166    5.3055 |
  294.450    15  4531 |    0.0170    5.3225 |
  295.425    15  4546 |    0.0192    5.3417 |
  296.400    15  4561 |    0.0173    5.3590 |
  297.375    15  4576 |    0.0166    5.3756 |
  298.350    15  4591 |    0.0164    5.3920 |
  299.325    15  4606 |    0.0164    5.4084 |
  300.300    15  4621 |    0.0163    5.4247 |
  301.275    15  4636 |    0.0160    5.4407 |
  302.250    15  4651 |    0.0160    5.4566 |
  303.225    15  4666 |    0.0162    5.4728 |
  304.200    15  4681 |    0.0161    5.4890 |
  305.175    15  4696 |    0.0161    5.5050 |
  306.150    15  4711 |    0.0160    5.5210 |
  307.125    15  4726 |    0.0160    5.5370 |
  308.100    15  4741 |    0.0161    5.5531 |
  309.075    15  4756 |    0.0160    5.5691 |
  310.050    15  4771 |    0.0161    5.5852 |
  311.025    15  4786 |    0.0161    5.6013 |
  312.000    15  4801 |    0.0162    5.6175 |
  312.975    15  4816 |    0.0169    5.6344 |
  313.950    15  4831 |    0.0165    5.6509 |
  314.925    15  4846 |    0.0164    5.6673 |
  315.900    15  4861 |    0.0162    5.6835 |
  316.875    15  4876 |    0.0170    5.7004 |
  317.850    15  4891 |    0.0162    5.7167 |
  318.825    15  4906 |    0.0170    5.7337 |
  319.800    15  4921 |    0.0170    5.7507 |
  320.775    15  4936 |    0.0163    5.7670 |
  321.750    15  4951 |    0.0162    5.7833 |
  322.725    15  4966 |    0.0159    5.7992 |
  323.700    15  4981 |    0.0164    5.8156 |
  324.675    15  4996 |    0.0167    5.8323 |
  325.650    15  5011 |    0.0166    5.8489 |
  326.625    15  5026 |    0.0167    5.8656 |
  327.600    15  5041 |    0.0166    5.8822 |
  328.575    15  5056 |    0.0162    5.8984 |
  329.550    15  5071 |    0.0163    5.9146 |
  330.525    15  5086 |    0.0167    5.9314 |
  331.500    15  5101 |    0.0163    5.9477 |
  332.475    15  5116 |    0.0166    5.9643 |
  333.450    15  5131 |    0.0163    5.9806 |
  334.425    15  5146 |    0.0164    5.9969 |
  335.400    15  5161 |    0.0161    6.0131 |
  336.375    15  5176 |    0.0171    6.0302 |
  337.350    15  5191 |    0.0172    6.0473 |
  338.325    15  5206 |    0.0170    6.0643 |
  339.300    15  5221 |    0.0164    6.0808 |
  340.275    15  5236 |    0.0167    6.0975 |
  341.250    15  5251 |    0.0175    6.1150 |
  342.225    15  5266 |    0.0177    6.1327 |
  343.200    15  5281 |    0.0166    6.1493 |
  344.175    15  5296 |    0.0165    6.1657 |
  345.150    15  5311 |    0.0163    6.1820 |
  346.125    15  5326 |    0.0164    6.1985 |
  347.100    15  5341 |    0.0165    6.2150 |
  348.075    15  5356 |    0.0172    6.2322 |
  349.050    15  5371 |    0.0166    6.2488 |
  350.025    15  5386 |    0.0165    6.2653 |
  351.000    15  5401 |    0.0160    6.2813 |
  351.975    15  5416 |    0.0161    6.2974 |
  352.950    15  5431 |    0.0163    6.3138 |
  353.925    15  5446 |    0.0164    6.3301 |
  354.900    15  5461 |    0.0164    6.3465 |
  355.875    15  5476 |    0.0169    6.3634 |
  356.850    15  5491 |    0.0165    6.3799 |
  357.825    15  5506 |    0.0165    6.3964 |
  358.800    15  5521 |    0.0161    6.4124 |
  359.775    15  5536 |    0.0161    6.4285 |
  360.750    15  5551 |    0.0163    6.4448 |
  361.725    15  5566 |    0.0164    6.4612 |
  362.700    15  5581 |    0.0163    6.4775 |
  363.675    15  5596 |    0.0162    6.4937 |
  364.650    15  5611 |    0.0160    6.5097 |
  365.625    15  5626 |    0.0161    6.5258 |
  366.600    15  5641 |    0.0160    6.5418 |
  367.575    15  5656 |    0.0161    6.5579 |
  368.550    15  5671 |    0.0162    6.5741 |
  369.525    15  5686 |    0.0165    6.5906 |
  370.500    15  5701 |    0.0162    6.6068 |
  371.475    15  5716 |    0.0175    6.6243 |
  372.450    15  5731 |    0.0169    6.6412 |
  373.425    15  5746 |    0.0161    6.6573 |
  374.400    15  5761 |    0.0163    6.6736 |
  375.375    15  5776 |    0.0162    6.6898 |
  376.350    15  5791 |    0.0161    6.7059 |
  377.325    15  5806 |    0.0166    6.7225 |
  378.300    15  5821 |    0.0160    6.7385 |
  379.275    15  5836 |    0.0165    6.7549 |
  380.250    15  5851 |    0.0162    6.7711 |
  381.225    15  5866 |    0.0165    6.7876 |
  382.200    15  5881 |    0.0169    6.8045 |
  383.175    15  5896 |    0.0163    6.8208 |
  384.150    15  5911 |    0.0162    6.8370 |
  385.125    15  5926 |    0.0172    6.8543 |
  386.100    15  5941 |    0.0167    6.8709 |
  387.075    15  5956 |    0.0164    6.8873 |
  388.050    15  5971 |    0.0164    6.9037 |
  389.025    15  5986 |    0.0163    6.9200 |
  390.000    15  6001 |    0.0167    6.9368 |
  390.975    15  6016 |    0.0166    6.9534 |
  391.950    15  6031 |    0.0162    6.9695 |
  392.925    15  6046 |    0.0162    6.9857 |
  393.900    15  6061 |    0.0161    7.0018 |
  394.875    15  6076 |    0.0161    7.0179 |
  395.850    15  6091 |    0.0162    7.0341 |
  396.825    15  6106 |    0.0164    7.0505 |
  397.800    15  6121 |    0.0165    7.0670 |
  398.775    15  6136 |    0.0163    7.0833 |
  399.750    15  6151 |    0.0164    7.0997 |
  400.725    15  6166 |    0.0173    7.1170 |
  401.700    15  6181 |    0.0163    7.1333 |
  402.675    15  6196 |    0.0166    7.1499 |
  403.650    15  6211 |    0.0164    7.1663 |
  404.625    15  6226 |    0.0164    7.1827 |
  405.600    15  6241 |    0.0163    7.1990 |
  406.575    15  6256 |    0.0163    7.2152 |
  407.550    15  6271 |    0.0161    7.2313 |
  408.525    15  6286 |    0.0162    7.2475 |
  409.500    15  6301 |    0.0160    7.2635 |
  410.475    15  6316 |    0.0161    7.2796 |
  411.450    15  6331 |    0.0161    7.2956 |
  412.425    15  6346 |    0.0160    7.3116 |
  413.400    15  6361 |    0.0162    7.3278 |
  414.375    15  6376 |    0.0163    7.3440 |
  415.350    15  6391 |    0.0160    7.3601 |
  416.325    15  6406 |    0.0162    7.3763 |
  417.300    15  6421 |    0.0160    7.3923 |
  418.275    15  6436 |    0.0161    7.4084 |
  419.250    15  6451 |    0.0162    7.4246 |
  420.225    15  6466 |    0.0163    7.4409 |
  421.200    15  6481 |    0.0161    7.4570 |
  422.175    15  6496 |    0.0160    7.4730 |
  423.150    15  6511 |    0.0160    7.4890 |
  424.125    15  6526 |    0.0163    7.5052 |
  425.100    15  6541 |    0.0161    7.5214 |
  426.075    15  6556 |    0.0160    7.5374 |
  427.050    15  6571 |    0.0161    7.5534 |
  428.025    15  6586 |    0.0161    7.5695 |
  429.000    15  6601 |    0.0160    7.5855 |
  429.975    15  6616 |    0.0159    7.6014 |
  430.950    15  6631 |    0.0163    7.6177 |
  431.925    15  6646 |    0.0160    7.6337 |
  432.900    15  6661 |    0.0160    7.6497 |
  433.875    15  6676 |    0.0159    7.6657 |
  434.850    15  6691 |    0.0159    7.6816 |
  435.825    15  6706 |    0.0159    7.6975 |
  436.800    15  6721 |    0.0162    7.7137 |
  437.775    15  6736 |    0.0160    7.7296 |
  438.750    15  6751 |    0.0163    7.7459 |
  439.725    15  6766 |    0.0161    7.7620 |
  440.700    15  6781 |    0.0161    7.7780 |
  441.675    15  6796 |    0.0160    7.7940 |
  442.650    15  6811 |    0.0161    7.8101 |
  443.625    15  6826 |    0.0161    7.8262 |
  444.600    15  6841 |    0.0161    7.8423 |
  445.575    15  6856 |    0.0160    7.8583 |
  446.550    15  6871 |    0.0161    7.8743 |
  447.525    15  6886 |    0.0161    7.8904 |
  448.500    15  6901 |    0.0161    7.9066 |
  449.475    15  6916 |    0.0160    7.9225 |
  450.450    15  6931 |    0.0160    7.9385 |
  451.425    15  6946 |    0.0162    7.9547 |
  452.400    15  6961 |    0.0164    7.9711 |
  453.375    15  6976 |    0.0160    7.9871 |
  454.350    15  6991 |    0.0161    8.0032 |
  455.325    15  7006 |    0.0163    8.0195 |
  456.300    15  7021 |    0.0162    8.0357 |
  457.275    15  7036 |    0.0164    8.0521 |
  458.250    15  7051 |    0.0163    8.0684 |
  459.225    15  7066 |    0.0164    8.0848 |
  460.200    15  7081 |    0.0161    8.1009 |
  461.175    15  7096 |    0.0163    8.1172 |
  462.150    15  7111 |    0.0162    8.1334 |
  463.125    15  7126 |    0.0160    8.1494 |
  464.100    15  7141 |    0.0165    8.1659 |
  465.075    15  7156 |    0.0159    8.1818 |
  466.050    15  7171 |    0.0161    8.1979 |
  467.025    15  7186 |    0.0160    8.2139 |
  468.000    15  7201 |    0.0163    8.2303 |
  468.975    15  7216 |    0.0160    8.2463 |
  469.950    15  7231 |    0.0162    8.2625 |
  470.925    15  7246 |    0.0160    8.2785 |
  471.900    15  7261 |    0.0160    8.2945 |
  472.875    15  7276 |    0.0159    8.3104 |
  473.850    15  7291 |    0.0160    8.3265 |
  474.825    15  7306 |    0.0160    8.3424 |
  475.800    15  7321 |    0.0160    8.3584 |
  476.775    15  7336 |    0.0161    8.3745 |
  477.750    15  7351 |    0.0160    8.3905 |
  478.725    15  7366 |    0.0161    8.4066 |
  479.700    15  7381 |    0.0161    8.4227 |
  480.675    15  7396 |    0.0159    8.4386 |
  481.650    15  7411 |    0.0160    8.4546 |
  482.625    15  7426 |    0.0160    8.4706 |
  483.600    15  7441 |    0.0160    8.4866 |
  484.575    15  7456 |    0.0159    8.5025 |
  485.550    15  7471 |    0.0161    8.5186 |
  486.525    15  7486 |    0.0161    8.5347 |
  487.500    15  7501 |    0.0159    8.5507 |
  488.475    15  7516 |    0.0161    8.5668 |
  489.450    15  7531 |    0.0160    8.5828 |
  490.425    15  7546 |    0.0162    8.5990 |
  491.400    15  7561 |    0.0160    8.6150 |
  492.375    15  7576 |    0.0214    8.6364 |
  493.350    15  7591 |    0.0160    8.6524 |
  494.325    15  7606 |    0.0160    8.6684 |
  495.300    15  7621 |    0.0160    8.6843 |
  496.275    15  7636 |    0.0161    8.7004 |
  497.250    15  7651 |    0.0162    8.7166 |
