          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  174.525    15  2686 |    0.0307    5.5228 |
  175.500    15  2701 |    0.0308    5.5535 |
  176.475    15  2716 |    0.0307    5.5843 |
  177.450    15  2731 |    0.0308    5.6150 |
  178.425    15  2746 |    0.0312    5.6463 |
  179.400    15  2761 |    0.0308    5.6771 |
  180.375    15  2776 |    0.0308    5.7079 |
  181.350    15  2791 |    0.0308    5.7387 |
  182.325    15  2806 |    0.0307    5.7694 |
  183.300    15  2821 |    0.0310    5.8004 |
  184.275    15  2836 |    0.0309    5.8313 |
  185.250    15  2851 |    0.0310    5.8623 |
  186.225    15  2866 |    0.0308    5.8931 |
  187.200    15  2881 |    0.0307    5.9238 |
  188.175    15  2896 |    0.0309    5.9547 |
  189.150    15  2911 |    0.0308    5.9855 |
  190.125    15  2926 |    0.0309    6.0164 |
  191.100    15  2941 |    0.0307    6.0471 |
  192.075    15  2956 |    0.0308    6.0779 |
  193.050    15  2971 |    0.0309    6.1088 |
  194.025    15  2986 |    0.0315    6.1403 |
  195.000    15  3001 |    0.0308    6.1711 |
  195.975    15  3016 |    0.0315    6.2025 |
  196.950    15  3031 |    0.0318    6.2343 |
  197.925    15  3046 |    0.0312    6.2655 |
  198.900    15  3061 |    0.0311    6.2966 |
  199.875    15  3076 |    0.0313    6.3280 |
  200.850    15  3091 |    0.0237    6.3516 |
  201.825    15  3106 |    0.0215    6.3731 |
  202.800    15  3121 |    0.0216    6.3947 |
  203.775    15  3136 |    0.0219    6.4167 |
  204.750    15  3151 |    0.0217    6.4384 |
  205.725    15  3166 |    0.0217    6.4601 |
  206.700    15  3181 |    0.0218    6.4818 |
  207.675    15  3196 |    0.0217    6.5036 |
  208.650    15  3211 |    0.0216    6.5252 |
  209.625    15  3226 |    0.0216    6.5468 |
  210.600    15  3241 |    0.0220    6.5688 |
  211.575    15  3256 |    0.0217    6.5905 |
  212.550    15  3271 |    0.0218    6.6124 |
  213.525    15  3286 |    0.0217    6.6340 |
  214.500    15  3301 |    0.0217    6.6557 |
  215.475    15  3316 |    0.0216    6.6773 |
  216.450    15  3331 |    0.0213    6.6987 |
  217.425    15  3346 |    0.0214    6.7200 |
  218.400    15  3361 |    0.0215    6.7415 |
  219.375    15  3376 |    0.0217    6.7632 |
  220.350    15  3391 |    0.0214    6.7846 |
  221.325    15  3406 |    0.0215    6.8061 |
  222.300    15  3421 |    0.0219    6.8280 |
  223.275    15  3436 |    0.0215    6.8495 |
  224.250    15  3451 |    0.0214    6.8710 |
  225.225    15  3466 |    0.0217    6.8926 |
  226.200    15  3481 |    0.0215    6.9142 |
  227.175    15  3496 |    0.0215    6.9357 |
  228.150    15  3511 |    0.0216    6.9573 |
  229.125    15  3526 |    0.0215    6.9788 |
  230.100    15  3541 |    0.0214    7.0002 |
  231.075    15  3556 |    0.0216    7.0217 |
  232.050    15  3571 |    0.0215    7.0433 |
  233.025    15  3586 |    0.0217    7.0650 |
  234.000    15  3601 |    0.0215    7.0865 |
  234.975    15  3616 |    0.0218    7.1082 |
  235.950    15  3631 |    0.0231    7.1314 |
  236.925    15  3646 |    0.0215    7.1529 |
  237.900    15  3661 |    0.0215    7.1744 |
  238.875    15  3676 |    0.0215    7.1959 |
  239.850    15  3691 |    0.0216    7.2176 |
  240.825    15  3706 |    0.0216    7.2391 |
  241.800    15  3721 |    0.0216    7.2607 |
  242.775    15  3736 |    0.0217    7.2824 |
  243.750    15  3751 |    0.0216    7.3040 |
  244.725    15  3766 |    0.0215    7.3256 |
  245.700    15  3781 |    0.0215    7.3471 |
  246.675    15  3796 |    0.0217    7.3688 |
  247.650    15  3811 |    0.0216    7.3904 |
  248.625    15  3826 |    0.0216    7.4120 |
  249.600    15  3841 |    0.0216    7.4336 |
  250.575    15  3856 |    0.0215    7.4551 |
  251.550    15  3871 |    0.0242    7.4793 |
  252.525    15  3886 |    0.0216    7.5009 |
  253.500    15  3901 |    0.0220    7.5229 |
  254.475    15  3916 |    0.0218    7.5447 |
  255.450    15  3931 |    0.0216    7.5663 |
  256.425    15  3946 |    0.0217    7.5880 |
  257.400    15  3961 |    0.0217    7.6097 |
  258.375    15  3976 |    0.0217    7.6314 |
  259.350    15  3991 |    0.0216    7.6530 |
  260.325    15  4006 |    0.0215    7.6745 |
  261.300    15  4021 |    0.0216    7.6961 |
  262.275    15  4036 |    0.0217    7.7178 |
  263.250    15  4051 |    0.0216    7.7394 |
  264.225    15  4066 |    0.0216    7.7611 |
  265.200    15  4081 |    0.0216    7.7827 |
  266.175    15  4096 |    0.0218    7.8044 |
  267.150    15  4111 |    0.0216    7.8260 |
  268.125    15  4126 |    0.0217    7.8477 |
  269.100    15  4141 |    0.0217    7.8694 |
  270.075    15  4156 |    0.0215    7.8909 |
  271.050    15  4171 |    0.0216    7.9125 |
  272.025    15  4186 |    0.0216    7.9341 |
  273.000    15  4201 |    0.0216    7.9557 |
  273.975    15  4216 |    0.0218    7.9775 |
  274.950    15  4231 |    0.0217    7.9992 |
  275.925    15  4246 |    0.0215    8.0207 |
  276.900    15  4261 |    0.0215    8.0421 |
  277.875    15  4276 |    0.0216    8.0637 |
  278.850    15  4291 |    0.0216    8.0853 |
  279.825    15  4306 |    0.0217    8.1069 |
  280.800    15  4321 |    0.0216    8.1285 |
  281.775    15  4336 |    0.0215    8.1500 |
  282.750    15  4351 |    0.0213    8.1713 |
  283.725    15  4366 |    0.0221    8.1934 |
  284.700    15  4381 |    0.0216    8.2151 |
  285.675    15  4396 |    0.0216    8.2367 |
  286.650    15  4411 |    0.0215    8.2582 |
  287.625    15  4426 |    0.0215    8.2797 |
  288.600    15  4441 |    0.0218    8.3015 |
  289.575    15  4456 |    0.0216    8.3231 |
  290.550    15  4471 |    0.0215    8.3446 |
  291.525    15  4486 |    0.0223    8.3669 |
  292.500    15  4501 |    0.0216    8.3885 |
  293.475    15  4516 |    0.0213    8.4098 |
  294.450    15  4531 |    0.0213    8.4311 |
  295.425    15  4546 |    0.0213    8.4524 |
  296.400    15  4561 |    0.0214    8.4738 |
  297.375    15  4576 |    0.0213    8.4951 |
