          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  213.525    15  3286 |    0.0161    3.9823 |
  214.500    15  3301 |    0.0165    3.9988 |
  215.475    15  3316 |    0.0165    4.0153 |
  216.450    15  3331 |    0.0161    4.0313 |
  217.425    15  3346 |    0.0164    4.0478 |
  218.400    15  3361 |    0.0162    4.0639 |
  219.375    15  3376 |    0.0166    4.0805 |
  220.350    15  3391 |    0.0163    4.0967 |
  221.325    15  3406 |    0.0163    4.1130 |
  222.300    15  3421 |    0.0164    4.1294 |
  223.275    15  3436 |    0.0165    4.1459 |
  224.250    15  3451 |    0.0166    4.1625 |
  225.225    15  3466 |    0.0162    4.1788 |
  226.200    15  3481 |    0.0164    4.1951 |
  227.175    15  3496 |    0.0162    4.2113 |
  228.150    15  3511 |    0.0164    4.2277 |
  229.125    15  3526 |    0.0164    4.2441 |
  230.100    15  3541 |    0.0162    4.2603 |
  231.075    15  3556 |    0.0165    4.2769 |
  232.050    15  3571 |    0.0166    4.2935 |
  233.025    15  3586 |    0.0162    4.3097 |
  234.000    15  3601 |    0.0163    4.3260 |
  234.975    15  3616 |    0.0163    4.3423 |
  235.950    15  3631 |    0.0165    4.3587 |
  236.925    15  3646 |    0.0163    4.3750 |
  237.900    15  3661 |    0.0161    4.3911 |
  238.875    15  3676 |    0.0164    4.4075 |
  239.850    15  3691 |    0.0163    4.4237 |
  240.825    15  3706 |    0.0164    4.4402 |
  241.800    15  3721 |    0.0164    4.4566 |
  242.775    15  3736 |    0.0163    4.4729 |
  243.750    15  3751 |    0.0165    4.4894 |
  244.725    15  3766 |    0.0163    4.5057 |
  245.700    15  3781 |    0.0163    4.5221 |
  246.675    15  3796 |    0.0163    4.5383 |
  247.650    15  3811 |    0.0164    4.5547 |
  248.625    15  3826 |    0.0162    4.5709 |
  249.600    15  3841 |    0.0161    4.5870 |
  250.575    15  3856 |    0.0162    4.6032 |
  251.550    15  3871 |    0.0164    4.6196 |
  252.525    15  3886 |    0.0162    4.6358 |
  253.500    15  3901 |    0.0161    4.6518 |
  254.475    15  3916 |    0.0162    4.6680 |
  255.450    15  3931 |    0.0163    4.6843 |
  256.425    15  3946 |    0.0163    4.7005 |
  257.400    15  3961 |    0.0163    4.7168 |
  258.375    15  3976 |    0.0163    4.7331 |
  259.350    15  3991 |    0.0164    4.7496 |
  260.325    15  4006 |    0.0164    4.7660 |
  261.300    15  4021 |    0.0164    4.7823 |
  262.275    15  4036 |    0.0166    4.7989 |
  263.250    15  4051 |    0.0166    4.8155 |
  264.225    15  4066 |    0.0165    4.8320 |
  265.200    15  4081 |    0.0165    4.8485 |
  266.175    15  4096 |    0.0167    4.8651 |
  267.150    15  4111 |    0.0163    4.8815 |
  268.125    15  4126 |    0.0161    4.8976 |
  269.100    15  4141 |    0.0162    4.9138 |
  270.075    15  4156 |    0.0164    4.9303 |
  271.050    15  4171 |    0.0161    4.9463 |
  272.025    15  4186 |    0.0166    4.9629 |
  273.000    15  4201 |    0.0164    4.9793 |
  273.975    15  4216 |    0.0165    4.9959 |
  274.950    15  4231 |    0.0167    5.0126 |
  275.925    15  4246 |    0.0163    5.0288 |
  276.900    15  4261 |    0.0166    5.0455 |
  277.875    15  4276 |    0.0168    5.0623 |
  278.850    15  4291 |    0.0162    5.0785 |
  279.825    15  4306 |    0.0165    5.0950 |
  280.800    15  4321 |    0.0163    5.1113 |
  281.775    15  4336 |    0.0161    5.1273 |
  282.750    15  4351 |    0.0162    5.1436 |
  283.725    15  4366 |    0.0165    5.1600 |
  284.700    15  4381 |    0.0165    5.1766 |
  285.675    15  4396 |    0.0164    5.1930 |
  286.650    15  4411 |    0.0163    5.2092 |
  287.625    15  4426 |    0.0163    5.2256 |
  288.600    15  4441 |    0.0163    5.2419 |
  289.575    15  4456 |    0.0163    5.2582 |
  290.550    15  4471 |    0.0163    5.2745 |
  291.525    15  4486 |    0.0166    5.2911 |
  292.500    15  4501 |    0.0163    5.3074 |
  293.475    15  4516 |    0.0164    5.3237 |
  294.450    15  4531 |    0.0168    5.3405 |
  295.425    15  4546 |    0.0161    5.3566 |
  296.400    15  4561 |    0.0162    5.3729 |
  297.375    15  4576 |    0.0165    5.3893 |
  298.350    15  4591 |    0.0164    5.4057 |
  299.325    15  4606 |    0.0164    5.4221 |
  300.300    15  4621 |    0.0163    5.4384 |
  301.275    15  4636 |    0.0160    5.4544 |
  302.250    15  4651 |    0.0162    5.4706 |
  303.225    15  4666 |    0.0164    5.4870 |
  304.200    15  4681 |    0.0164    5.5034 |
  305.175    15  4696 |    0.0165    5.5199 |
  306.150    15  4711 |    0.0164    5.5363 |
  307.125    15  4726 |    0.0164    5.5527 |
  308.100    15  4741 |    0.0162    5.5690 |
  309.075    15  4756 |    0.0164    5.5854 |
  310.050    15  4771 |    0.0165    5.6019 |
  311.025    15  4786 |    0.0165    5.6184 |
  312.000    15  4801 |    0.0163    5.6347 |
  312.975    15  4816 |    0.0162    5.6509 |
  313.950    15  4831 |    0.0164    5.6672 |
  314.925    15  4846 |    0.0167    5.6840 |
  315.900    15  4861 |    0.0164    5.7003 |
  316.875    15  4876 |    0.0165    5.7168 |
  317.850    15  4891 |    0.0164    5.7331 |
  318.825    15  4906 |    0.0163    5.7495 |
  319.800    15  4921 |    0.0162    5.7657 |
  320.775    15  4936 |    0.0162    5.7819 |
  321.750    15  4951 |    0.0165    5.7983 |
  322.725    15  4966 |    0.0167    5.8150 |
  323.700    15  4981 |    0.0165    5.8315 |
  324.675    15  4996 |    0.0165    5.8480 |
  325.650    15  5011 |    0.0162    5.8641 |
  326.625    15  5026 |    0.0162    5.8804 |
  327.600    15  5041 |    0.0161    5.8965 |
  328.575    15  5056 |    0.0162    5.9127 |
  329.550    15  5071 |    0.0165    5.9292 |
  330.525    15  5086 |    0.0161    5.9453 |
  331.500    15  5101 |    0.0161    5.9614 |
  332.475    15  5116 |    0.0168    5.9782 |
  333.450    15  5131 |    0.0165    5.9947 |
  334.425    15  5146 |    0.0163    6.0110 |
  335.400    15  5161 |    0.0167    6.0277 |
  336.375    15  5176 |    0.0167    6.0444 |
  337.350    15  5191 |    0.0172    6.0616 |
  338.325    15  5206 |    0.0173    6.0789 |
  339.300    15  5221 |    0.0165    6.0954 |
  340.275    15  5236 |    0.0162    6.1116 |
  341.250    15  5251 |    0.0162    6.1278 |
  342.225    15  5266 |    0.0164    6.1442 |
  343.200    15  5281 |    0.0165    6.1606 |
  344.175    15  5296 |    0.0164    6.1770 |
  345.150    15  5311 |    0.0170    6.1940 |
  346.125    15  5326 |    0.0163    6.2103 |
  347.100    15  5341 |    0.0160    6.2263 |
  348.075    15  5356 |    0.0166    6.2429 |
  349.050    15  5371 |    0.0169    6.2598 |
  350.025    15  5386 |    0.0164    6.2762 |
  351.000    15  5401 |    0.0163    6.2925 |
  351.975    15  5416 |    0.0161    6.3085 |
  352.950    15  5431 |    0.0161    6.3246 |
  353.925    15  5446 |    0.0160    6.3406 |
  354.900    15  5461 |    0.0160    6.3566 |
