          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
  143.325     4     4     4.0     60   5744 |   15  2206    0.2586    0.0172    0.0043 |
  144.300     4     4     4.0     60   5804 |   15  2221    0.2608    0.0174    0.0043 |
  145.275     4     4     4.0     60   5864 |   15  2236    0.2588    0.0173    0.0043 |
  146.250     4     4     4.0     60   5924 |   15  2251    0.2594    0.0173    0.0043 |
  147.225     4     4     4.0     60   5984 |   15  2266    0.2698    0.0180    0.0045 |
  148.200     4     4     4.0     60   6044 |   15  2281    0.2667    0.0178    0.0044 |
  149.175     4     4     4.0     60   6104 |   15  2296    0.2602    0.0173    0.0043 |
  150.150     4     4     4.0     60   6164 |   15  2311    0.2583    0.0172    0.0043 |
  151.125     4     4     4.0     60   6224 |   15  2326    0.2596    0.0173    0.0043 |
  152.100     4     4     4.0     60   6284 |   15  2341    0.2586    0.0172    0.0043 |
  153.075     4     4     4.0     60   6344 |   15  2356    0.2583    0.0172    0.0043 |
  154.050     4     4     4.0     60   6404 |   15  2371    0.2594    0.0173    0.0043 |
  155.025     4     4     4.0     60   6464 |   15  2386    0.2604    0.0174    0.0043 |
  156.000     4     4     4.0     60   6524 |   15  2401    0.2597    0.0173    0.0043 |
  156.975     4     4     4.0     60   6584 |   15  2416    0.2589    0.0173    0.0043 |
  157.950     4     4     4.0     60   6644 |   15  2431    0.2592    0.0173    0.0043 |
  158.925     4     4     4.0     60   6704 |   15  2446    0.2598    0.0173    0.0043 |
  159.900     4     4     4.0     60   6764 |   15  2461    0.2618    0.0175    0.0044 |
  160.875     4     4     4.0     60   6824 |   15  2476    0.2640    0.0176    0.0044 |
  161.850     4     4     4.0     60   6884 |   15  2491    0.2582    0.0172    0.0043 |
  162.825     4     4     4.0     60   6944 |   15  2506    0.2597    0.0173    0.0043 |
  163.800     4     4     4.0     60   7004 |   15  2521    0.2602    0.0173    0.0043 |
  164.775     4     4     4.0     60   7064 |   15  2536    0.2581    0.0172    0.0043 |
  165.750     4     4     4.0     60   7124 |   15  2551    0.2585    0.0172    0.0043 |
  166.725     4     4     4.0     60   7184 |   15  2566    0.2652    0.0177    0.0044 |
  167.700     4     4     4.0     60   7244 |   15  2581    0.2659    0.0177    0.0044 |
  168.675     4     4     4.0     60   7304 |   15  2596    0.2615    0.0174    0.0044 |
  169.650     4     4     4.0     60   7364 |   15  2611    0.2653    0.0177    0.0044 |
  170.625     4     4     4.0     60   7424 |   15  2626    0.2625    0.0175    0.0044 |
  171.600     4     4     4.0     60   7484 |   15  2641    0.2665    0.0178    0.0044 |
  172.575     4     4     4.0     60   7544 |   15  2656    0.2645    0.0176    0.0044 |
  173.550     4     4     4.0     60   7604 |   15  2671    0.2675    0.0178    0.0045 |
  174.525     4     4     4.0     60   7664 |   15  2686    0.2658    0.0177    0.0044 |
  175.500     4     4     4.0     60   7724 |   15  2701    0.2630    0.0175    0.0044 |
  176.475     4     4     4.0     60   7784 |   15  2716    0.2618    0.0175    0.0044 |
  177.450     4     4     4.0     60   7844 |   15  2731    0.2618    0.0175    0.0044 |
  178.425     4     4     4.0     60   7904 |   15  2746    0.2636    0.0176    0.0044 |
  179.400     4     4     4.0     60   7964 |   15  2761    0.2615    0.0174    0.0044 |
  180.375     4     4     4.0     60   8024 |   15  2776    0.2624    0.0175    0.0044 |
  181.350     4     4     4.0     60   8084 |   15  2791    0.2609    0.0174    0.0043 |
  182.325     3     4     3.2     48   8132 |   15  2806    0.2211    0.0147    0.0046 |
  183.300     3     3     3.0     45   8177 |   15  2821    0.2114    0.0141    0.0047 |
  184.275     3     3     3.0     45   8222 |   15  2836    0.2122    0.0141    0.0047 |
  185.250     3     3     3.0     45   8267 |   15  2851    0.2135    0.0142    0.0047 |
  186.225     3     3     3.0     45   8312 |   15  2866    0.2143    0.0143    0.0048 |
  187.200     3     3     3.0     45   8357 |   15  2881    0.2119    0.0141    0.0047 |
  188.175     3     3     3.0     45   8402 |   15  2896    0.2118    0.0141    0.0047 |
  189.150     3     3     3.0     45   8447 |   15  2911    0.2136    0.0142    0.0047 |
  190.125     3     3     3.0     45   8492 |   15  2926    0.2125    0.0142    0.0047 |
  191.100     3     3     3.0     45   8537 |   15  2941    0.2126    0.0142    0.0047 |
  192.075     3     3     3.0     45   8582 |   15  2956    0.2154    0.0144    0.0048 |
  193.050     3     3     3.0     45   8627 |   15  2971    0.2131    0.0142    0.0047 |
  194.025     3     3     3.0     45   8672 |   15  2986    0.2140    0.0143    0.0048 |
  195.000     3     3     3.0     45   8717 |   15  3001    0.2139    0.0143    0.0048 |
  195.975     3     3     3.0     45   8762 |   15  3016    0.2141    0.0143    0.0048 |
  196.950     3     3     3.0     45   8807 |   15  3031    0.2168    0.0145    0.0048 |
  197.925     3     3     3.0     45   8852 |   15  3046    0.2240    0.0149    0.0050 |
  198.900     3     3     3.0     45   8897 |   15  3061    0.2309    0.0154    0.0051 |
  199.875     3     3     3.0     45   8942 |   15  3076    0.2209    0.0147    0.0049 |
  200.850     3     3     3.0     45   8987 |   15  3091    0.2144    0.0143    0.0048 |
  201.825     3     3     3.0     45   9032 |   15  3106    0.2128    0.0142    0.0047 |
  202.800     3     3     3.0     45   9077 |   15  3121    0.2169    0.0145    0.0048 |
  203.775     3     3     3.0     45   9122 |   15  3136    0.2201    0.0147    0.0049 |
  204.750     3     3     3.0     45   9167 |   15  3151    0.2250    0.0150    0.0050 |
  205.725     3     3     3.0     45   9212 |   15  3166    0.2200    0.0147    0.0049 |
  206.700     3     3     3.0     45   9257 |   15  3181    0.2164    0.0144    0.0048 |
  207.675     3     3     3.0     45   9302 |   15  3196    0.2171    0.0145    0.0048 |
  208.650     3     3     3.0     45   9347 |   15  3211    0.2156    0.0144    0.0048 |
  209.625     3     3     3.0     45   9392 |   15  3226    0.2178    0.0145    0.0048 |
  210.600     3     3     3.0     45   9437 |   15  3241    0.2165    0.0144    0.0048 |
  211.575     3     3     3.0     45   9482 |   15  3256    0.2125    0.0142    0.0047 |
  212.550     3     3     3.0     45   9527 |   15  3271    0.2122    0.0141    0.0047 |
  213.525     3     3     3.0     45   9572 |   15  3286    0.2127    0.0142    0.0047 |
  214.500     3     3     3.0     45   9617 |   15  3301    0.2179    0.0145    0.0048 |
  215.475     3     3     3.0     45   9662 |   15  3316    0.2179    0.0145    0.0048 |
  216.450     3     3     3.0     45   9707 |   15  3331    0.2127    0.0142    0.0047 |
  217.425     3     3     3.0     45   9752 |   15  3346    0.2158    0.0144    0.0048 |
  218.400     3     3     3.0     45   9797 |   15  3361    0.2143    0.0143    0.0048 |
  219.375     3     3     3.0     45   9842 |   15  3376    0.2156    0.0144    0.0048 |
  220.350     3     3     3.0     45   9887 |   15  3391    0.2161    0.0144    0.0048 |
  221.325     3     3     3.0     45   9932 |   15  3406    0.2170    0.0145    0.0048 |
  222.300     3     3     3.0     45   9977 |   15  3421    0.2178    0.0145    0.0048 |
  223.275     3     3     3.0     45  10022 |   15  3436    0.2183    0.0146    0.0049 |
  224.250     3     3     3.0     45  10067 |   15  3451    0.2187    0.0146    0.0049 |
  225.225     3     3     3.0     45  10112 |   15  3466    0.2162    0.0144    0.0048 |
  226.200     3     3     3.0     45  10157 |   15  3481    0.2182    0.0145    0.0048 |
  227.175     3     3     3.0     45  10202 |   15  3496    0.2168    0.0145    0.0048 |
